A1,A2,A3,A4,A5,time
23.24,23.24,23.73,23.93,23.34,19053
23.24,23.24,23.83,23.93,23.24,19092
23.24,23.24,23.83,23.83,23.24,19131
23.24,23.24,23.73,23.93,23.34,19169
23.44,23.24,23.83,24.02,23.24,19208
23.54,23.24,23.93,23.83,23.24,19246
23.34,23.34,23.73,23.83,23.34,19284
23.54,23.24,23.83,24.02,23.34,19322
23.34,23.24,23.83,23.83,23.24,19361
23.34,23.24,23.83,23.93,23.24,19400
23.24,23.44,23.73,23.93,23.24,19438
23.24,23.24,23.83,23.93,23.24,19477
23.34,23.24,23.73,23.93,23.24,19515
23.34,23.34,23.73,24.02,23.34,19554
23.24,23.34,23.73,23.93,23.34,19592
23.24,23.44,23.73,24.12,23.34,19631
23.34,23.24,23.83,23.83,23.24,19670
23.24,23.24,23.83,23.93,23.24,19707
23.24,23.24,23.73,23.93,23.24,19746
23.34,23.24,23.83,23.93,23.24,19784
23.34,23.44,23.83,24.12,23.24,19823
23.24,23.24,23.93,23.83,23.24,19862
23.24,23.34,23.83,23.83,23.24,19900
23.24,23.34,23.93,23.93,23.24,19939
23.24,23.24,23.93,24.12,23.24,19977
23.34,23.34,23.73,24.02,23.34,20016
23.24,23.34,23.83,23.73,23.34,20054
23.34,23.24,23.93,23.73,23.24,20092
23.34,23.24,23.93,24.02,23.44,20131
23.24,23.34,23.93,24.02,23.24,20169
23.24,23.24,23.83,23.93,23.24,20208
23.24,23.34,23.83,23.83,23.34,20246
23.24,23.24,23.73,23.73,23.24,20285
23.24,23.24,23.73,24.02,23.24,20323
23.24,23.34,23.83,23.83,23.24,20362
23.34,23.24,23.73,23.93,23.24,20401
23.24,23.24,23.83,23.93,23.24,20439
23.14,23.24,23.73,23.93,23.24,20477
23.24,23.34,23.83,23.93,23.24,20515
23.24,23.34,23.93,23.83,23.24,20554
23.24,23.24,23.83,23.83,23.24,20592
23.34,23.24,23.83,23.83,23.34,20631
23.24,23.24,23.73,23.83,23.34,20670
23.34,23.34,23.83,23.93,23.24,20708
23.24,23.44,23.73,23.83,23.24,20747
23.24,23.34,23.83,23.83,23.24,20785
23.24,23.34,23.73,23.83,23.34,20824
23.24,23.24,23.83,23.83,23.24,20862
23.24,23.24,23.83,23.73,23.24,20900
23.24,23.34,23.73,24.02,23.34,20939
23.24,23.24,23.93,24.02,23.24,20977
23.34,23.34,23.93,23.83,23.24,21016
23.24,23.24,23.83,23.93,23.24,21054
23.24,23.24,23.73,23.93,23.24,21093
23.34,23.34,23.83,23.93,23.24,21132
23.24,23.34,23.73,23.73,23.24,21170
23.24,23.24,23.83,23.83,23.44,21209
23.34,23.24,23.83,24.02,23.24,21246
23.14,23.24,23.83,24.12,23.34,21285
23.34,23.34,23.93,23.93,23.24,21323
23.44,23.34,24.02,24.12,23.24,21362
23.24,23.24,23.73,23.93,23.34,21401
23.34,23.24,23.73,24.02,23.34,21439
23.24,23.24,23.73,24.02,23.34,21478
23.24,23.34,23.93,23.93,23.24,21516
23.24,23.24,23.73,24.02,23.24,21555
23.24,23.34,23.83,23.93,23.24,21594
23.34,23.24,23.83,23.83,23.24,21632
23.24,23.24,23.83,24.12,23.24,21670
23.34,23.34,23.73,23.93,23.24,21708
23.24,23.24,23.73,23.93,23.24,21747
23.24,23.34,23.83,23.83,23.34,21785
23.34,23.24,23.73,23.93,23.24,21824
23.24,23.34,23.93,23.93,23.34,21863
23.14,23.34,23.73,23.83,23.24,21901
23.24,23.24,23.83,23.93,23.34,21940
23.24,23.24,23.73,23.83,23.24,21978
23.24,23.24,23.73,23.93,23.24,22017
23.24,23.34,23.73,23.93,23.34,22054
23.14,23.24,23.83,23.93,23.24,22093
23.24,23.34,23.73,24.12,23.24,22132
23.24,23.34,23.83,24.02,23.24,22170
23.24,23.34,23.83,23.83,23.24,22209
23.24,23.34,23.83,23.93,23.24,22247
23.24,23.34,23.83,23.83,23.24,22286
23.24,23.34,23.73,23.93,23.34,22325
23.24,23.24,23.73,23.93,23.34,22363
23.24,23.24,23.83,23.73,23.24,22402
23.24,23.24,23.83,24.02,23.24,22439
23.24,23.34,23.83,23.93,23.24,22478
23.24,23.34,23.73,24.12,23.24,22516
23.34,23.24,23.73,23.93,23.24,22555
23.24,23.24,23.73,23.83,23.24,22594
23.24,23.34,23.83,23.83,23.34,22632
23.34,23.24,23.73,23.93,23.24,22671
23.24,23.24,23.83,23.73,23.34,22709
23.24,23.24,23.93,24.02,23.24,22748
23.34,23.24,23.93,23.93,23.34,22786
23.34,23.24,23.73,23.93,23.44,22824
