A1,A2,A3,A4,A5,time
23.34,23.14,23.54,23.73,23.24,15051.0
23.24,23.24,23.54,23.73,23.24,15090.0
23.24,23.24,23.73,23.73,23.24,15128.0
23.24,23.14,23.73,23.73,23.24,15167.0
23.24,23.24,23.73,23.83,23.14,15206.0
23.34,23.14,23.54,23.73,23.24,15244.0
23.24,23.14,23.73,23.73,23.24,15283.0
23.34,23.24,23.63,23.73,23.24,15321.0
23.24,23.24,23.73,23.73,23.24,15360.0
23.34,23.24,23.63,23.73,23.34,15397.0
23.24,23.24,23.73,23.93,23.24,15436.0
23.24,23.14,23.73,23.73,23.24,15475.0
23.24,23.14,23.54,23.73,23.24,15513.0
23.24,23.14,23.73,23.63,23.24,15552.0
23.34,23.24,23.54,23.73,23.14,15590.0
23.34,23.14,23.73,23.73,23.24,15629.0
23.24,23.14,23.63,23.73,23.24,15667.0
23.24,23.24,23.63,23.73,23.14,15706.0
23.24,23.24,23.73,23.73,23.14,15745.0
23.24,23.24,23.63,23.54,23.24,15782.0
23.24,23.24,23.73,23.83,23.24,15821.0
23.24,23.14,23.73,23.73,23.24,15859.0
23.24,23.14,23.63,23.73,23.14,15898.0
23.24,23.24,23.73,23.73,23.24,15937.0
23.24,23.24,23.63,23.73,23.24,15975.0
23.54,23.24,23.54,23.73,23.24,16014.0
23.24,23.14,23.73,23.73,23.24,16052.0
23.34,23.14,23.44,23.73,23.24,16091.0
23.34,23.24,23.73,23.83,23.14,16129.0
23.34,23.24,23.63,23.73,23.24,16167.0
23.24,23.24,23.44,23.73,23.24,16206.0
23.24,23.24,23.73,23.83,23.24,16244.0
23.24,23.24,23.63,23.83,23.24,16283.0
23.54,23.24,23.63,23.73,23.24,16321.0
23.34,23.24,23.63,23.73,23.24,16360.0
23.24,23.24,23.54,23.83,23.14,16398.0
23.24,23.24,23.63,23.73,23.24,16437.0
23.34,23.24,23.63,23.73,23.05,16476.0
23.24,23.24,23.73,23.73,23.14,16514.0
23.24,23.24,23.73,23.73,23.14,16552.0
23.24,23.24,23.63,23.73,23.05,16590.0
23.34,23.24,23.63,23.73,23.24,16629.0
23.24,23.24,23.73,23.93,23.14,16668.0
23.34,23.24,23.63,23.73,23.14,16706.0
23.24,23.24,23.63,23.73,23.14,16745.0
23.24,23.14,23.63,23.73,23.14,16783.0
23.44,23.24,23.73,23.73,23.24,16822.0
23.24,23.14,23.63,23.63,23.24,16860.0
23.24,23.24,23.73,23.73,23.24,16899.0
23.24,23.24,23.63,23.73,23.14,16937.0
23.24,23.24,23.63,23.73,23.24,16975.0
23.24,23.24,23.44,23.83,23.24,17014.0
23.24,23.24,23.73,23.73,23.24,17052.0
23.24,23.24,23.63,23.73,23.14,17091.0
23.24,23.24,23.63,23.73,23.24,17129.0
23.44,23.14,23.73,23.73,23.24,17168.0
23.34,23.24,23.63,23.73,23.24,17207.0
23.24,23.24,23.63,23.83,23.24,17245.0
23.24,23.14,23.63,23.73,23.24,17284.0
23.34,23.24,23.73,23.73,23.24,17321.0
23.24,23.05,23.63,23.73,23.24,17360.0
23.34,23.24,23.73,23.83,23.24,17399.0
23.34,23.14,23.73,23.73,23.24,17437.0
23.24,23.24,23.63,23.73,23.24,17476.0
23.44,23.14,23.63,23.93,23.24,17514.0
23.44,23.14,23.73,23.73,23.24,17553.0
23.24,23.14,23.63,23.73,23.24,17591.0
23.24,23.24,23.73,23.83,23.24,17630.0
23.34,23.24,23.63,23.73,23.24,17669.0
23.44,23.24,23.73,23.73,23.24,17707.0
23.44,23.24,23.63,23.83,23.34,17745.0
23.24,23.24,23.63,23.73,23.24,17783.0
23.24,23.24,23.54,23.83,23.24,17822.0
23.34,23.24,23.63,23.83,23.24,17860.0
23.24,23.24,23.63,23.73,23.24,17899.0
23.54,23.24,23.54,23.73,23.24,17938.0
23.34,23.24,23.73,23.83,23.24,17976.0
23.34,23.24,23.73,23.83,23.24,18015.0
23.24,23.24,23.73,23.93,23.24,18053.0
23.24,23.24,23.73,23.73,23.24,18092.0
23.24,23.24,23.63,23.83,23.24,18129.0
23.24,23.24,23.63,23.73,23.24,18168.0
23.24,23.14,23.63,23.73,23.24,18207.0
23.34,23.24,23.73,23.73,23.24,18245.0
23.34,23.24,23.63,23.73,23.24,18284.0
23.24,23.24,23.73,23.93,23.14,18322.0
23.34,23.14,23.73,23.73,23.14,18361.0
23.24,23.24,23.63,23.73,23.24,18400.0
23.24,23.24,23.73,23.73,23.24,18438.0
23.34,23.24,23.73,23.83,23.24,18477.0
23.24,23.24,23.54,23.73,23.24,18514.0
23.24,23.24,23.54,23.73,23.24,18553.0
23.24,23.24,23.73,23.73,23.24,18591.0
23.24,23.24,23.73,23.73,23.24,18630.0
23.24,23.14,23.73,23.73,23.24,18669.0
23.34,23.24,23.73,23.73,23.24,18707.0
23.44,23.24,23.73,23.83,23.34,18746.0
23.24,23.14,23.73,23.73,23.24,18784.0
23.34,23.24,23.63,23.73,23.24,18823.0
23.24,23.24,23.54,23.73,23.24,18861.0
23.34,23.24,23.54,23.73,23.24,18899.0
23.24,23.24,23.63,23.73,23.24,18938.0
23.24,23.24,23.73,23.73,23.14,18976.0
23.24,23.24,23.73,23.73,23.24,19015.0
23.34,23.24,23.73,23.73,23.34,19053.0
23.34,23.14,23.63,23.73,23.24,19092.0
23.34,23.24,23.63,23.73,23.24,19131.0
23.24,23.34,23.73,23.73,23.14,19169.0
23.24,23.24,23.63,23.73,23.14,19208.0
23.34,23.24,23.63,23.73,23.24,19246.0
23.24,23.24,23.73,23.73,23.24,19284.0
23.24,23.24,23.73,23.83,23.14,19322.0
23.24,23.24,23.73,23.73,23.24,19361.0
23.24,23.24,23.63,23.73,23.24,19400.0
23.24,23.24,23.73,23.73,23.24,19438.0
23.24,23.14,23.54,23.73,23.24,19477.0
23.24,23.24,23.63,23.83,23.14,19515.0
23.24,23.14,23.73,23.73,23.24,19554.0
23.24,23.24,23.63,23.73,23.14,19592.0
23.24,23.34,23.54,23.73,23.24,19631.0
23.14,23.05,23.73,23.73,23.24,19670.0
23.24,23.24,23.63,23.73,23.14,19707.0
23.24,23.24,23.63,23.93,23.14,19746.0
23.24,23.24,23.63,23.73,23.14,19784.0
23.24,23.24,23.54,23.73,23.24,19823.0
23.34,23.24,23.73,23.73,23.24,19862.0
23.24,23.24,23.63,23.73,23.24,19900.0
23.44,23.14,23.73,23.73,23.24,19939.0
23.24,23.24,23.63,23.73,23.14,19977.0
23.34,23.24,23.73,23.73,23.14,20016.0
23.24,23.14,23.44,23.73,23.24,20054.0
23.24,23.24,23.73,23.73,23.14,20092.0
23.34,23.24,23.54,23.73,23.24,20131.0
23.24,23.24,23.63,23.73,23.24,20169.0
23.24,23.05,23.54,23.73,23.14,20208.0
23.34,23.24,23.63,23.83,23.14,20246.0
23.24,23.14,23.44,23.83,23.24,20285.0
23.24,23.24,23.63,23.73,23.24,20323.0
23.24,23.24,23.63,23.73,23.24,20362.0
23.24,23.24,23.73,23.73,23.24,20401.0
23.24,23.24,23.63,23.73,23.24,20439.0
23.24,23.14,23.34,23.73,23.24,20477.0
23.14,23.24,23.63,23.73,23.05,20515.0
23.24,23.24,23.73,23.73,23.24,20554.0
23.24,23.24,23.73,23.73,23.24,20592.0
23.14,23.14,23.63,23.83,23.24,20631.0
23.14,23.24,23.54,23.73,23.14,20670.0
23.24,23.24,23.63,23.73,23.24,20708.0
23.24,23.14,23.73,23.73,23.14,20747.0
23.24,23.34,23.63,23.73,22.95,20785.0
23.34,23.14,23.54,23.73,23.14,20824.0
23.24,23.24,23.73,23.73,23.24,20862.0
23.34,23.24,23.63,23.73,23.24,20900.0
23.24,23.24,23.73,23.73,23.14,20939.0
23.24,23.24,23.54,23.73,23.14,20977.0
23.24,23.24,23.63,23.73,23.24,21016.0
23.24,23.24,23.73,23.73,23.14,21054.0
23.14,23.24,23.63,23.73,23.14,21093.0
